Do you feel mentally exhausted at work?,"After a day at work, do you find it hard to recover your energy?",Do you find that everything you do at work requires much effort?,Do you feel physically exhausted at work?,"When you get up in the morning, do you lack the energy to start a new day at work?",Do you want to be active at work but find it difficult to manage?,Do you quickly get tired when exerting yourself at work?,Do you feel mentally exhausted and drained at the end of your workday?,Do you struggle to find enthusiasm for your work?,Do you feel indifferent about your job?,Are you cynical about the impact your work has on others?,Do you have trouble staying focused at work?,Do you struggle to think clearly at work?,Are you forgetful and easily distracted at work?,Do you have trouble concentrating while working?,Do you make mistakes at work because your mind is on other things?,Do you feel unable to control your emotions at work?,Do you feel you no longer recognize yourself in your emotional reactions at work?,Do you become irritable when things don't go your way at work?,Do you feel sad or upset at work without knowing why?,Classification
Easily distracted,Good stamina,Easily distracted,Clear-minded,Emotionally stable,Positive outlook,Focused,Easily distracted,Drained,Loses focus,Foggy mind,I recharge through entertainment,Drained,In good physical condition,Quick to anger,No energy at all,Indifferent,Few mistakes,Indifferent,Drained,At Risk
Positive outlook,Low mood,Emotionally stable,Self-aware,Good focus,Clear-minded,Sharp memory,Ready to go,Clear-minded,Mostly engaged,Good stamina,Patient,Drained,I recharge through entertainment,Sharp memory,Emotionally stable,Self-aware,Invested,Loses focus,Loses focus,Normal
Mostly engaged,Forgetful,Enthusiastic,Loses focus,I recharge through entertainment,Always distracted,Positive outlook,Few mistakes,Mostly engaged,Mostly engaged,Invested,Patient,In good physical condition,Self-aware,Foggy mind,Refreshed,Emotionally stable,Indifferent,Low mood,Ready to go,Normal
No energy at all,Not motivated,No energy at all,Rarely feel tired,Indifferent,Drained,Low mood,Quick to anger,Forgetful,Quick to anger,No energy at all,Loses focus,No energy at all,Loses focus,Rarely feel tired,Rarely feel tired,Forgetful,Loses focus,Low mood,Not motivated,At Risk
Low mood,Low mood,Mostly engaged,In good physical condition,Few mistakes,Drained,Low mood,Forgetful,Easily distracted,Refreshed,Good stamina,Enthusiastic,Loses focus,Always distracted,Good stamina,Focused,Good focus,Few mistakes,Indifferent,Loses focus,Needs Monitoring
Few mistakes,In good physical condition,Good focus,Enthusiastic,No energy at all,Rarely feel tired,Focused,Not motivated,Forgetful,Sharp memory,Loses focus,No energy at all,Drained,Foggy mind,Loses focus,Indifferent,Forgetful,Always distracted,No energy at all,Forgetful,At Risk
Good stamina,Drained,Clear-minded,Focused,Self-aware,No energy at all,Rarely feel tired,Not motivated,Easily distracted,Always distracted,Focused,In good physical condition,Loses focus,I recharge through entertainment,Not motivated,Foggy mind,Foggy mind,In good physical condition,Emotionally stable,Indifferent,At Risk
Easily distracted,Indifferent,No energy at all,Not motivated,Invested,Enthusiastic,Forgetful,Forgetful,No energy at all,Invested,Drained,Indifferent,Good stamina,Good stamina,Rarely feel tired,Mostly engaged,Indifferent,No energy at all,Rarely feel tired,Few mistakes,At Risk
Loses focus,Always distracted,Rarely feel tired,Easily distracted,Not motivated,Low mood,Low mood,Not motivated,Easily distracted,No energy at all,Low mood,Low mood,Loses focus,Loses focus,Drained,Invested,No energy at all,Indifferent,Positive outlook,Loses focus,At Risk
Always distracted,Focused,Loses focus,Loses focus,Loses focus,Rarely feel tired,Easily distracted,Drained,Easily distracted,Drained,I recharge through entertainment,Forgetful,No energy at all,Loses focus,No energy at all,Easily distracted,Enthusiastic,Easily distracted,Mostly engaged,Easily distracted,At Risk
Rarely feel tired,Forgetful,Indifferent,Drained,Always distracted,Quick to anger,Rarely feel tired,Quick to anger,No energy at all,Forgetful,Indifferent,Rarely feel tired,Quick to anger,Low mood,Quick to anger,Always distracted,Always distracted,Rarely feel tired,No energy at all,Always distracted,At Risk
Good stamina,Sharp memory,Enthusiastic,Invested,Sharp memory,Invested,Challenging but good,Few mistakes,I recharge through entertainment,Refreshed,Invested,Enthusiastic,Good stamina,I recharge through entertainment,Good focus,Challenging but good,Emotionally stable,Clear-minded,Enthusiastic,I recharge through entertainment,Normal
Few mistakes,Emotionally stable,Drained,No energy at all,Low mood,Easily distracted,Emotionally stable,Mostly engaged,Easily distracted,Forgetful,Drained,Loses focus,Forgetful,Indifferent,Positive outlook,Loses focus,Not motivated,Good focus,I recharge through entertainment,Emotionally stable,At Risk
Mostly engaged,In good physical condition,Emotionally stable,Patient,Challenging but good,I recharge through entertainment,Sharp memory,Ready to go,Positive outlook,Refreshed,Refreshed,Focused,Ready to go,Refreshed,In good physical condition,Enthusiastic,Refreshed,Mostly engaged,Focused,Challenging but good,Normal
Always distracted,Clear-minded,Easily distracted,Not motivated,I recharge through entertainment,Mostly engaged,Focused,Forgetful,Self-aware,Focused,Refreshed,Challenging but good,Good stamina,Easily distracted,Quick to anger,Good stamina,Not motivated,Refreshed,Always distracted,Not motivated,Needs Monitoring
Emotionally stable,Sharp memory,Ready to go,Good focus,Sharp memory,Few mistakes,Drained,Enthusiastic,Enthusiastic,Invested,In good physical condition,Few mistakes,Challenging but good,No energy at all,Refreshed,Self-aware,Invested,In good physical condition,Challenging but good,Focused,Normal
Rarely feel tired,Foggy mind,Few mistakes,Foggy mind,Not motivated,Foggy mind,Low mood,I recharge through entertainment,No energy at all,Foggy mind,Drained,Not motivated,Low mood,Foggy mind,Foggy mind,Drained,Forgetful,Drained,No energy at all,Foggy mind,At Risk
Focused,Indifferent,Easily distracted,Enthusiastic,Quick to anger,Not motivated,Good focus,Good stamina,Positive outlook,I recharge through entertainment,In good physical condition,Low mood,Patient,Quick to anger,Positive outlook,Forgetful,Easily distracted,In good physical condition,Low mood,Foggy mind,Needs Monitoring
Patient,Sharp memory,Sharp memory,Mostly engaged,Loses focus,Positive outlook,Good focus,Ready to go,Enthusiastic,Good focus,Invested,Good focus,Invested,Positive outlook,I recharge through entertainment,Clear-minded,Self-aware,Clear-minded,In good physical condition,Good focus,Normal
Good stamina,Sharp memory,Self-aware,Good focus,Good stamina,Sharp memory,Clear-minded,In good physical condition,Invested,Invested,Positive outlook,Self-aware,Enthusiastic,Quick to anger,I recharge through entertainment,In good physical condition,Challenging but good,Low mood,Sharp memory,Mostly engaged,Normal
Indifferent,Rarely feel tired,Quick to anger,Always distracted,Easily distracted,Not motivated,Foggy mind,Easily distracted,Quick to anger,Quick to anger,Not motivated,I recharge through entertainment,Indifferent,Rarely feel tired,Positive outlook,Indifferent,Quick to anger,Drained,Low mood,Forgetful,At Risk
I recharge through entertainment,Focused,Ready to go,No energy at all,No energy at all,Patient,Ready to go,Sharp memory,Good focus,Loses focus,Emotionally stable,Invested,Focused,Foggy mind,Always distracted,Foggy mind,Invested,Rarely feel tired,Drained,Loses focus,Needs Monitoring
Loses focus,Easily distracted,Drained,Easily distracted,No energy at all,Indifferent,Drained,Easily distracted,No energy at all,Always distracted,Foggy mind,I recharge through entertainment,Indifferent,Low mood,Self-aware,Mostly engaged,Rarely feel tired,Quick to anger,Low mood,No energy at all,At Risk
Easily distracted,Indifferent,Indifferent,Easily distracted,Drained,Quick to anger,Indifferent,Clear-minded,Foggy mind,Foggy mind,Loses focus,Good stamina,Rarely feel tired,Indifferent,Rarely feel tired,Easily distracted,Low mood,Not motivated,Rarely feel tired,Forgetful,At Risk
Always distracted,Foggy mind,Forgetful,Always distracted,Good stamina,Good stamina,Forgetful,Sharp memory,Loses focus,I recharge through entertainment,In good physical condition,Mostly engaged,Positive outlook,Patient,Challenging but good,Enthusiastic,Self-aware,No energy at all,Good stamina,Forgetful,Needs Monitoring
Quick to anger,Focused,I recharge through entertainment,Quick to anger,Loses focus,Invested,Foggy mind,Easily distracted,Ready to go,No energy at all,Sharp memory,Rarely feel tired,Few mistakes,Focused,Mostly engaged,Rarely feel tired,Clear-minded,Emotionally stable,Not motivated,Rarely feel tired,Needs Monitoring
Quick to anger,Drained,Indifferent,Easily distracted,Indifferent,Not motivated,Always distracted,No energy at all,Drained,Drained,Low mood,No energy at all,Foggy mind,Forgetful,Indifferent,No energy at all,Low mood,Quick to anger,Not motivated,Drained,At Risk
Emotionally stable,Drained,Enthusiastic,Good stamina,Refreshed,Easily distracted,Low mood,Sharp memory,Indifferent,Focused,Patient,Good stamina,Good stamina,Enthusiastic,Refreshed,Patient,Few mistakes,Enthusiastic,Positive outlook,Few mistakes,Normal
Loses focus,Loses focus,Drained,Drained,Invested,Forgetful,Few mistakes,Forgetful,Enthusiastic,Patient,Rarely feel tired,Indifferent,Rarely feel tired,Loses focus,No energy at all,Indifferent,Drained,Emotionally stable,Sharp memory,No energy at all,At Risk
Good stamina,Refreshed,Challenging but good,Enthusiastic,Good stamina,Clear-minded,Sharp memory,Refreshed,Refreshed,Ready to go,Invested,Good stamina,Positive outlook,Challenging but good,Positive outlook,Positive outlook,I recharge through entertainment,Focused,Few mistakes,Positive outlook,Normal
Few mistakes,Self-aware,Ready to go,In good physical condition,Good focus,Clear-minded,Mostly engaged,Emotionally stable,Ready to go,Low mood,Focused,Enthusiastic,Self-aware,Patient,Emotionally stable,Ready to go,Invested,Challenging but good,Mostly engaged,Refreshed,Normal
Always distracted,Forgetful,Rarely feel tired,Indifferent,Foggy mind,Drained,No energy at all,Always distracted,Few mistakes,Enthusiastic,I recharge through entertainment,Forgetful,Rarely feel tired,Forgetful,Drained,Always distracted,Easily distracted,Quick to anger,Always distracted,Always distracted,At Risk
Good stamina,Not motivated,Forgetful,In good physical condition,Enthusiastic,Enthusiastic,Enthusiastic,Easily distracted,Indifferent,No energy at all,Good focus,Challenging but good,Rarely feel tired,In good physical condition,Low mood,I recharge through entertainment,Loses focus,Invested,Refreshed,Easily distracted,Needs Monitoring
Rarely feel tired,Forgetful,Low mood,No energy at all,Rarely feel tired,Foggy mind,In good physical condition,Invested,Emotionally stable,Self-aware,I recharge through entertainment,Not motivated,In good physical condition,Easily distracted,Drained,Always distracted,Mostly engaged,Emotionally stable,In good physical condition,Patient,Needs Monitoring
Emotionally stable,I recharge through entertainment,Emotionally stable,Sharp memory,Refreshed,In good physical condition,Mostly engaged,Self-aware,Good stamina,Mostly engaged,Mostly engaged,Clear-minded,Invested,Positive outlook,Invested,Enthusiastic,Enthusiastic,Challenging but good,Mostly engaged,Mostly engaged,Normal
Patient,Challenging but good,Rarely feel tired,Invested,In good physical condition,Not motivated,Always distracted,In good physical condition,Always distracted,Focused,Foggy mind,Refreshed,Always distracted,Good focus,Ready to go,Refreshed,Focused,Not motivated,Challenging but good,No energy at all,Needs Monitoring
Indifferent,Not motivated,Low mood,Easily distracted,Foggy mind,Low mood,Indifferent,Emotionally stable,Foggy mind,Focused,Foggy mind,Positive outlook,Challenging but good,Loses focus,Self-aware,Foggy mind,Patient,Ready to go,Mostly engaged,Indifferent,At Risk
Low mood,Drained,Indifferent,Indifferent,Not motivated,Drained,Easily distracted,Indifferent,Easily distracted,Drained,Not motivated,Foggy mind,Foggy mind,Not motivated,Easily distracted,Easily distracted,Always distracted,Always distracted,Focused,No energy at all,At Risk
Good stamina,Low mood,Drained,Loses focus,No energy at all,Foggy mind,Low mood,Indifferent,Indifferent,Drained,Indifferent,Drained,Refreshed,Not motivated,Quick to anger,No energy at all,Drained,Clear-minded,Always distracted,Foggy mind,At Risk
Drained,Always distracted,In good physical condition,Good stamina,Challenging but good,Good stamina,Enthusiastic,Loses focus,Positive outlook,Always distracted,Refreshed,Quick to anger,Not motivated,Foggy mind,Patient,Indifferent,Few mistakes,Clear-minded,Focused,Few mistakes,Needs Monitoring
Enthusiastic,Enthusiastic,Focused,Enthusiastic,Positive outlook,Mostly engaged,Good focus,Ready to go,Challenging but good,Focused,Quick to anger,Easily distracted,Forgetful,Forgetful,Enthusiastic,Patient,Good stamina,Few mistakes,Easily distracted,Forgetful,Normal
Refreshed,Drained,Self-aware,Clear-minded,Forgetful,Ready to go,Indifferent,Good stamina,Indifferent,Clear-minded,Mostly engaged,Focused,I recharge through entertainment,No energy at all,Not motivated,Forgetful,Good stamina,Few mistakes,Clear-minded,Clear-minded,Normal
Self-aware,Positive outlook,Emotionally stable,Challenging but good,Ready to go,Sharp memory,Focused,Enthusiastic,Focused,Good focus,In good physical condition,Indifferent,Challenging but good,Focused,Refreshed,Patient,Few mistakes,Patient,Focused,Good focus,Normal
Patient,Good focus,Refreshed,Good focus,Patient,Patient,Not motivated,Focused,Focused,Patient,Good focus,No energy at all,Few mistakes,Focused,Quick to anger,Quick to anger,Enthusiastic,Challenging but good,Low mood,Indifferent,Normal
Drained,Rarely feel tired,Quick to anger,Quick to anger,Indifferent,Foggy mind,Indifferent,Forgetful,Foggy mind,Forgetful,No energy at all,Drained,Not motivated,Rarely feel tired,Not motivated,Low mood,Easily distracted,Indifferent,Easily distracted,Quick to anger,At Risk
Patient,Focused,Low mood,Mostly engaged,Invested,In good physical condition,Patient,Quick to anger,Challenging but good,In good physical condition,Good stamina,I recharge through entertainment,Ready to go,Invested,Invested,Foggy mind,Few mistakes,Refreshed,Enthusiastic,Ready to go,Normal
In good physical condition,I recharge through entertainment,Self-aware,Challenging but good,Emotionally stable,Sharp memory,Enthusiastic,Challenging but good,Always distracted,Few mistakes,Clear-minded,Invested,Positive outlook,Positive outlook,Few mistakes,Positive outlook,Few mistakes,Invested,Refreshed,Ready to go,Normal
Patient,Positive outlook,Focused,Ready to go,Sharp memory,Few mistakes,I recharge through entertainment,I recharge through entertainment,I recharge through entertainment,Invested,Invested,Rarely feel tired,In good physical condition,Mostly engaged,Focused,Few mistakes,Sharp memory,Few mistakes,Clear-minded,Focused,Normal
Mostly engaged,Mostly engaged,Good focus,Enthusiastic,In good physical condition,Mostly engaged,Challenging but good,I recharge through entertainment,Challenging but good,Good stamina,Good focus,Enthusiastic,Challenging but good,Good focus,Refreshed,Sharp memory,Mostly engaged,Focused,Clear-minded,Few mistakes,Normal
Good stamina,Ready to go,Good stamina,Patient,Clear-minded,Mostly engaged,Ready to go,Good stamina,In good physical condition,Challenging but good,Challenging but good,Good stamina,Enthusiastic,Indifferent,I recharge through entertainment,Emotionally stable,Invested,Mostly engaged,Good stamina,Challenging but good,Normal
Invested,Focused,Invested,Focused,Good stamina,Good stamina,Patient,No energy at all,Indifferent,Refreshed,Invested,Good focus,Easily distracted,Refreshed,In good physical condition,Challenging but good,Sharp memory,Few mistakes,Challenging but good,Few mistakes,Normal
