Do you feel mentally exhausted at work?,"After a day at work, do you find it hard to recover your energy?",Do you find that everything you do at work requires much effort?,Do you feel physically exhausted at work?,"When you get up in the morning, do you lack the energy to start a new day at work?",Do you want to be active at work but find it difficult to manage?,Do you quickly get tired when exerting yourself at work?,Do you feel mentally exhausted and drained at the end of your workday?,Do you struggle to find enthusiasm for your work?,Do you feel indifferent about your job?,Are you cynical about the impact your work has on others?,Do you have trouble staying focused at work?,Do you struggle to think clearly at work?,Are you forgetful and easily distracted at work?,Do you have trouble concentrating while working?,Do you make mistakes at work because your mind is on other things?,Do you feel unable to control your emotions at work?,Do you feel you no longer recognize yourself in your emotional reactions at work?,Do you become irritable when things don't go your way at work?,Do you feel sad or upset at work without knowing why?,Classification
Good focus,Good focus,In good physical condition,Mostly engaged,Good stamina,Emotionally stable,Positive outlook,Good stamina,Always distracted,Ready to go,Patient,Ready to go,Loses focus,Good stamina,Emotionally stable,Self-aware,Mostly engaged,Quick to anger,Few mistakes,Positive outlook,Normal
Invested,No energy at all,Foggy mind,Forgetful,Sharp memory,Invested,Positive outlook,Good focus,Invested,Good focus,In good physical condition,Focused,Indifferent,Patient,Foggy mind,Emotionally stable,In good physical condition,Not motivated,Clear-minded,Few mistakes,Normal
Enthusiastic,Forgetful,Emotionally stable,Forgetful,Ready to go,Focused,Indifferent,Few mistakes,Challenging but good,Ready to go,Sharp memory,Foggy mind,Self-aware,Ready to go,Quick to anger,Refreshed,Always distracted,Focused,Refreshed,Few mistakes,Normal
Easily distracted,Challenging but good,Invested,In good physical condition,Mostly engaged,Challenging but good,Always distracted,Sharp memory,Always distracted,Foggy mind,Positive outlook,Good focus,Positive outlook,In good physical condition,Good focus,Ready to go,Loses focus,Patient,Focused,Enthusiastic,Normal
Ready to go,Good focus,Foggy mind,Loses focus,In good physical condition,Indifferent,Patient,In good physical condition,Not motivated,Mostly engaged,Forgetful,Good stamina,Enthusiastic,Emotionally stable,Good focus,Focused,Quick to anger,Good focus,Mostly engaged,Enthusiastic,Normal
Drained,Self-aware,Loses focus,Sharp memory,Mostly engaged,Few mistakes,Patient,Refreshed,Clear-minded,Enthusiastic,Foggy mind,Few mistakes,Sharp memory,Loses focus,In good physical condition,Indifferent,Good focus,No energy at all,Few mistakes,Good stamina,Normal
Drained,Sharp memory,Sharp memory,Sharp memory,Invested,Mostly engaged,Challenging but good,In good physical condition,In good physical condition,Patient,Drained,Emotionally stable,Few mistakes,Not motivated,Challenging but good,Good stamina,Good focus,Mostly engaged,Quick to anger,Indifferent,Normal
Focused,Quick to anger,Few mistakes,I recharge through entertainment,Patient,Mostly engaged,Ready to go,Enthusiastic,Always distracted,Forgetful,Easily distracted,Challenging but good,Enthusiastic,Not motivated,Easily distracted,I recharge through entertainment,Invested,Self-aware,Clear-minded,Patient,Normal
Loses focus,Loses focus,Invested,Drained,Ready to go,Mostly engaged,Sharp memory,Self-aware,Invested,Low mood,Clear-minded,Sharp memory,Invested,Loses focus,Refreshed,Clear-minded,Foggy mind,Indifferent,Good stamina,Ready to go,Normal
Sharp memory,Focused,I recharge through entertainment,Self-aware,Challenging but good,Few mistakes,Challenging but good,Mostly engaged,Good focus,Few mistakes,Mostly engaged,Few mistakes,Indifferent,In good physical condition,Enthusiastic,Patient,Mostly engaged,Sharp memory,Positive outlook,Mostly engaged,Normal
Clear-minded,Always distracted,Clear-minded,Good stamina,Emotionally stable,Patient,Forgetful,Emotionally stable,Refreshed,Emotionally stable,Emotionally stable,Enthusiastic,Invested,Enthusiastic,I recharge through entertainment,Not motivated,Invested,Challenging but good,Few mistakes,Refreshed,Normal
I recharge through entertainment,Low mood,Clear-minded,Focused,I recharge through entertainment,Invested,I recharge through entertainment,Clear-minded,Mostly engaged,Sharp memory,Invested,Enthusiastic,Challenging but good,Good focus,Positive outlook,Good focus,Few mistakes,Not motivated,Focused,Sharp memory,Normal
Focused,Sharp memory,I recharge through entertainment,Clear-minded,Invested,Good stamina,Clear-minded,I recharge through entertainment,Ready to go,Quick to anger,Focused,Not motivated,Emotionally stable,Self-aware,Indifferent,In good physical condition,Sharp memory,Focused,Clear-minded,Refreshed,Normal
Few mistakes,Invested,Enthusiastic,Enthusiastic,Good focus,Good stamina,Enthusiastic,Clear-minded,Sharp memory,Mostly engaged,Few mistakes,Invested,In good physical condition,Emotionally stable,Positive outlook,Refreshed,In good physical condition,Mostly engaged,Sharp memory,Self-aware,Normal
Challenging but good,Forgetful,Few mistakes,Clear-minded,Challenging but good,I recharge through entertainment,Emotionally stable,Indifferent,I recharge through entertainment,Challenging but good,Easily distracted,Self-aware,I recharge through entertainment,I recharge through entertainment,Refreshed,Not motivated,Positive outlook,Enthusiastic,Drained,Few mistakes,Normal
Enthusiastic,Drained,Low mood,Focused,Refreshed,Quick to anger,In good physical condition,I recharge through entertainment,Clear-minded,Indifferent,Positive outlook,I recharge through entertainment,I recharge through entertainment,Challenging but good,Enthusiastic,Quick to anger,Patient,Easily distracted,Refreshed,Low mood,Normal
Good stamina,Sharp memory,Refreshed,Mostly engaged,Not motivated,Positive outlook,Drained,Emotionally stable,Low mood,Focused,Good stamina,Few mistakes,Sharp memory,I recharge through entertainment,Enthusiastic,I recharge through entertainment,Focused,Good focus,Emotionally stable,Focused,Normal
Refreshed,In good physical condition,Focused,Invested,Refreshed,Mostly engaged,Not motivated,Emotionally stable,Emotionally stable,Refreshed,Mostly engaged,Self-aware,Indifferent,In good physical condition,Good stamina,Patient,Ready to go,Patient,No energy at all,Foggy mind,Normal
Sharp memory,Emotionally stable,Enthusiastic,Loses focus,Mostly engaged,Mostly engaged,Ready to go,Refreshed,Mostly engaged,Ready to go,Enthusiastic,Clear-minded,Invested,Self-aware,Patient,Indifferent,Ready to go,I recharge through entertainment,Good focus,Foggy mind,Normal
Focused,Positive outlook,Enthusiastic,Focused,Positive outlook,Sharp memory,Self-aware,Good focus,Focused,Self-aware,Focused,Good focus,Mostly engaged,Good focus,Challenging but good,Patient,Self-aware,I recharge through entertainment,Few mistakes,Mostly engaged,Normal
Enthusiastic,Sharp memory,Forgetful,Sharp memory,Mostly engaged,Invested,Ready to go,In good physical condition,Challenging but good,Good focus,Enthusiastic,Forgetful,Loses focus,Loses focus,Enthusiastic,Self-aware,Not motivated,Self-aware,Easily distracted,Mostly engaged,Normal
No energy at all,Refreshed,Ready to go,Self-aware,Few mistakes,Clear-minded,Clear-minded,Good focus,Emotionally stable,Good focus,Mostly engaged,Positive outlook,Emotionally stable,Emotionally stable,Clear-minded,Clear-minded,No energy at all,In good physical condition,Sharp memory,Good focus,Normal
Foggy mind,Enthusiastic,Refreshed,Drained,Always distracted,Sharp memory,Focused,Challenging but good,Self-aware,Easily distracted,Focused,Self-aware,Challenging but good,Mostly engaged,Low mood,Loses focus,Few mistakes,Always distracted,Mostly engaged,Good focus,Normal
Quick to anger,Positive outlook,Enthusiastic,Loses focus,Self-aware,Mostly engaged,Positive outlook,In good physical condition,Ready to go,Clear-minded,I recharge through entertainment,Easily distracted,Forgetful,Good stamina,Mostly engaged,Self-aware,I recharge through entertainment,Mostly engaged,Positive outlook,Loses focus,Normal
Mostly engaged,Good stamina,Mostly engaged,I recharge through entertainment,Ready to go,Indifferent,Indifferent,Focused,Emotionally stable,Invested,Good stamina,Emotionally stable,Few mistakes,Sharp memory,In good physical condition,Refreshed,Emotionally stable,Clear-minded,Clear-minded,Good stamina,Normal
Good stamina,Patient,Emotionally stable,I recharge through entertainment,Loses focus,Refreshed,Challenging but good,Self-aware,Drained,Loses focus,I recharge through entertainment,Mostly engaged,Challenging but good,Clear-minded,Ready to go,Focused,Positive outlook,Clear-minded,In good physical condition,In good physical condition,Normal
Mostly engaged,Good focus,No energy at all,Sharp memory,Challenging but good,Focused,I recharge through entertainment,Positive outlook,Low mood,Clear-minded,Clear-minded,Clear-minded,Enthusiastic,Sharp memory,Easily distracted,Few mistakes,Clear-minded,Indifferent,Self-aware,Challenging but good,Normal
Patient,Patient,Clear-minded,Always distracted,Mostly engaged,Challenging but good,Clear-minded,Foggy mind,Quick to anger,Refreshed,Positive outlook,Drained,Enthusiastic,Positive outlook,Self-aware,Good stamina,Ready to go,Positive outlook,Quick to anger,Low mood,Normal
Few mistakes,Emotionally stable,Good focus,Self-aware,Good focus,Clear-minded,Enthusiastic,Few mistakes,Few mistakes,In good physical condition,Challenging but good,Enthusiastic,In good physical condition,Good stamina,Loses focus,Few mistakes,Positive outlook,Focused,Foggy mind,Sharp memory,Normal
Positive outlook,Enthusiastic,Sharp memory,Always distracted,Challenging but good,Good stamina,Challenging but good,Focused,No energy at all,Sharp memory,In good physical condition,Not motivated,Focused,Self-aware,Refreshed,Ready to go,Challenging but good,Patient,Quick to anger,Good focus,Normal
Few mistakes,Positive outlook,Patient,Enthusiastic,Indifferent,Drained,Positive outlook,Mostly engaged,Invested,Positive outlook,Good focus,Positive outlook,Enthusiastic,Refreshed,Mostly engaged,Sharp memory,Refreshed,In good physical condition,Refreshed,Challenging but good,Normal
Foggy mind,Few mistakes,Mostly engaged,Good focus,Self-aware,Invested,Sharp memory,Self-aware,In good physical condition,Patient,Focused,Positive outlook,Self-aware,Always distracted,I recharge through entertainment,Patient,Patient,Low mood,Refreshed,Low mood,Normal
Good stamina,Emotionally stable,Patient,Sharp memory,Focused,Ready to go,Challenging but good,I recharge through entertainment,Emotionally stable,Focused,Clear-minded,Emotionally stable,Good stamina,Ready to go,Not motivated,Easily distracted,Self-aware,Forgetful,Clear-minded,Positive outlook,Normal
Focused,No energy at all,Patient,Mostly engaged,Challenging but good,Sharp memory,Focused,Always distracted,Indifferent,Self-aware,Sharp memory,Few mistakes,Low mood,Enthusiastic,No energy at all,I recharge through entertainment,Foggy mind,Emotionally stable,Patient,I recharge through entertainment,Normal
Clear-minded,Patient,Positive outlook,Self-aware,Good focus,Good focus,Positive outlook,In good physical condition,Focused,Ready to go,Focused,Mostly engaged,Refreshed,Emotionally stable,Sharp memory,Positive outlook,Sharp memory,Positive outlook,In good physical condition,Sharp memory,Normal
Clear-minded,Challenging but good,Mostly engaged,Clear-minded,Refreshed,Always distracted,Few mistakes,Emotionally stable,Focused,Foggy mind,Good stamina,Positive outlook,Indifferent,Sharp memory,Always distracted,I recharge through entertainment,Challenging but good,Mostly engaged,Positive outlook,Mostly engaged,Normal
Enthusiastic,Self-aware,Few mistakes,Drained,Good stamina,Foggy mind,Mostly engaged,Foggy mind,I recharge through entertainment,Patient,Always distracted,Clear-minded,Positive outlook,Easily distracted,Invested,Invested,Focused,Self-aware,Few mistakes,Good stamina,Normal
Positive outlook,Indifferent,Enthusiastic,Quick to anger,Ready to go,Few mistakes,Not motivated,In good physical condition,In good physical condition,Sharp memory,Refreshed,Drained,Loses focus,Foggy mind,Enthusiastic,Foggy mind,Mostly engaged,Good focus,Self-aware,In good physical condition,Normal
Patient,Forgetful,Sharp memory,Always distracted,Enthusiastic,Enthusiastic,Good focus,Foggy mind,Positive outlook,Ready to go,Invested,Challenging but good,Good stamina,Challenging but good,Enthusiastic,Drained,Forgetful,Loses focus,Low mood,I recharge through entertainment,Normal
Mostly engaged,I recharge through entertainment,Mostly engaged,In good physical condition,Refreshed,Positive outlook,Enthusiastic,Mostly engaged,Easily distracted,Clear-minded,Clear-minded,Sharp memory,Enthusiastic,Emotionally stable,I recharge through entertainment,Patient,Ready to go,Enthusiastic,I recharge through entertainment,Few mistakes,Normal
Not motivated,Mostly engaged,Enthusiastic,Mostly engaged,Quick to anger,Refreshed,In good physical condition,Challenging but good,Not motivated,Sharp memory,Loses focus,Focused,Quick to anger,Emotionally stable,Focused,Drained,Indifferent,Refreshed,Emotionally stable,Challenging but good,Normal
Good focus,Self-aware,Low mood,Quick to anger,Loses focus,Positive outlook,Refreshed,Challenging but good,Refreshed,Enthusiastic,Focused,Quick to anger,Low mood,Invested,Emotionally stable,No energy at all,Positive outlook,Few mistakes,No energy at all,Invested,Normal
Easily distracted,Self-aware,No energy at all,Not motivated,Invested,Positive outlook,In good physical condition,Clear-minded,Refreshed,Drained,Clear-minded,I recharge through entertainment,Positive outlook,Not motivated,Clear-minded,Good stamina,Sharp memory,Clear-minded,Positive outlook,Ready to go,Normal
Self-aware,Sharp memory,Enthusiastic,Few mistakes,I recharge through entertainment,In good physical condition,Good focus,Ready to go,In good physical condition,Self-aware,Sharp memory,Ready to go,Patient,I recharge through entertainment,Sharp memory,Clear-minded,Good stamina,Good focus,In good physical condition,Challenging but good,Normal
Few mistakes,Invested,Enthusiastic,Patient,Sharp memory,Enthusiastic,Few mistakes,Good stamina,Loses focus,Invested,Ready to go,Sharp memory,Self-aware,Quick to anger,Mostly engaged,Forgetful,Enthusiastic,Drained,No energy at all,Ready to go,Normal
Focused,Patient,Invested,Focused,I recharge through entertainment,Ready to go,Mostly engaged,Ready to go,Few mistakes,Mostly engaged,Sharp memory,In good physical condition,Patient,Few mistakes,Focused,Few mistakes,I recharge through entertainment,In good physical condition,Focused,Sharp memory,Normal
Ready to go,Self-aware,Forgetful,Self-aware,Focused,Good stamina,Clear-minded,Easily distracted,Forgetful,Ready to go,I recharge through entertainment,Forgetful,No energy at all,I recharge through entertainment,Challenging but good,In good physical condition,Good stamina,Quick to anger,Loses focus,Focused,Normal
Ready to go,Enthusiastic,Patient,Few mistakes,Refreshed,Emotionally stable,Few mistakes,Always distracted,Refreshed,Focused,Emotionally stable,No energy at all,Few mistakes,Clear-minded,Enthusiastic,Refreshed,No energy at all,Clear-minded,Focused,Emotionally stable,Normal
Focused,Always distracted,No energy at all,Challenging but good,Good focus,Challenging but good,Mostly engaged,Good stamina,In good physical condition,Ready to go,Self-aware,Drained,Mostly engaged,Enthusiastic,Loses focus,I recharge through entertainment,Few mistakes,Enthusiastic,Mostly engaged,Clear-minded,Normal
Invested,Challenging but good,Good stamina,Refreshed,In good physical condition,Challenging but good,Mostly engaged,Sharp memory,Good focus,Enthusiastic,Focused,Sharp memory,I recharge through entertainment,I recharge through entertainment,Focused,Forgetful,Quick to anger,Emotionally stable,Good focus,Self-aware,Normal
Emotionally stable,Enthusiastic,Emotionally stable,Forgetful,Indifferent,Refreshed,Self-aware,Refreshed,Patient,Focused,Indifferent,Few mistakes,Emotionally stable,Focused,Ready to go,Enthusiastic,Invested,Refreshed,Few mistakes,Clear-minded,Normal
Easily distracted,Good focus,Refreshed,Enthusiastic,Enthusiastic,Positive outlook,Good focus,Self-aware,Ready to go,Good stamina,Few mistakes,Good stamina,Refreshed,Few mistakes,Focused,Clear-minded,I recharge through entertainment,I recharge through entertainment,Good stamina,I recharge through entertainment,Normal
Ready to go,Quick to anger,Sharp memory,Refreshed,Good focus,Ready to go,Positive outlook,Not motivated,Challenging but good,I recharge through entertainment,I recharge through entertainment,Good stamina,Invested,Enthusiastic,Mostly engaged,Enthusiastic,Refreshed,Challenging but good,Good focus,Focused,Normal
Self-aware,Few mistakes,Self-aware,Clear-minded,Forgetful,Emotionally stable,Ready to go,Quick to anger,Clear-minded,Good stamina,Sharp memory,Good focus,Clear-minded,Ready to go,I recharge through entertainment,Not motivated,Drained,Ready to go,No energy at all,Loses focus,Normal
Low mood,Few mistakes,Invested,Positive outlook,Mostly engaged,Patient,Few mistakes,Good focus,Mostly engaged,Ready to go,Challenging but good,I recharge through entertainment,Enthusiastic,Good focus,Loses focus,I recharge through entertainment,Clear-minded,Focused,Focused,Self-aware,Normal
Focused,Challenging but good,Emotionally stable,Focused,Sharp memory,I recharge through entertainment,Sharp memory,Good focus,Invested,I recharge through entertainment,Few mistakes,Focused,Clear-minded,Quick to anger,Self-aware,I recharge through entertainment,Mostly engaged,Positive outlook,Good stamina,Sharp memory,Normal
Refreshed,Sharp memory,Foggy mind,Patient,Loses focus,I recharge through entertainment,Sharp memory,Positive outlook,Drained,Self-aware,Good stamina,Enthusiastic,Refreshed,Low mood,Foggy mind,In good physical condition,Not motivated,Challenging but good,Enthusiastic,Few mistakes,Normal
Few mistakes,Refreshed,Clear-minded,Emotionally stable,Few mistakes,Good stamina,Emotionally stable,Challenging but good,Indifferent,Refreshed,I recharge through entertainment,Enthusiastic,Ready to go,Few mistakes,Patient,Enthusiastic,Clear-minded,Focused,Good focus,Self-aware,Normal
Foggy mind,Focused,Few mistakes,Invested,In good physical condition,Invested,Easily distracted,Invested,Enthusiastic,Foggy mind,Low mood,Emotionally stable,Invested,Loses focus,Clear-minded,Patient,Focused,Sharp memory,Indifferent,Loses focus,Normal
Good focus,Positive outlook,Positive outlook,Positive outlook,Self-aware,Self-aware,I recharge through entertainment,Easily distracted,Focused,Loses focus,Clear-minded,Self-aware,Refreshed,Self-aware,I recharge through entertainment,Patient,Few mistakes,Good focus,Good stamina,Challenging but good,Normal
Few mistakes,Sharp memory,Positive outlook,Few mistakes,Focused,Good focus,Few mistakes,Clear-minded,No energy at all,Mostly engaged,In good physical condition,Invested,Sharp memory,Refreshed,Enthusiastic,Positive outlook,Refreshed,Mostly engaged,Good focus,Quick to anger,Normal
Positive outlook,Invested,In good physical condition,Self-aware,Challenging but good,Emotionally stable,In good physical condition,Mostly engaged,Mostly engaged,Refreshed,Sharp memory,Good focus,Refreshed,Emotionally stable,Invested,Refreshed,Enthusiastic,Good focus,Sharp memory,Enthusiastic,Normal
Forgetful,Mostly engaged,Indifferent,Good focus,Foggy mind,Clear-minded,I recharge through entertainment,In good physical condition,Low mood,I recharge through entertainment,In good physical condition,Patient,Few mistakes,In good physical condition,Sharp memory,Clear-minded,Clear-minded,Easily distracted,Quick to anger,Quick to anger,Normal
Self-aware,Challenging but good,Sharp memory,Loses focus,Mostly engaged,Good stamina,Few mistakes,Self-aware,Good stamina,Focused,Not motivated,Few mistakes,Mostly engaged,Patient,Foggy mind,Focused,Challenging but good,Patient,Refreshed,In good physical condition,Normal
Forgetful,Not motivated,Loses focus,I recharge through entertainment,Enthusiastic,I recharge through entertainment,Focused,Enthusiastic,Positive outlook,Few mistakes,I recharge through entertainment,Enthusiastic,Mostly engaged,Not motivated,Good stamina,Few mistakes,I recharge through entertainment,Patient,Good focus,In good physical condition,Normal
I recharge through entertainment,Good stamina,Enthusiastic,Clear-minded,Ready to go,In good physical condition,Mostly engaged,Focused,In good physical condition,Enthusiastic,Invested,Self-aware,Clear-minded,I recharge through entertainment,Enthusiastic,Sharp memory,Good stamina,Emotionally stable,Refreshed,Good focus,Normal
Easily distracted,Sharp memory,Enthusiastic,Mostly engaged,Good focus,Refreshed,Emotionally stable,Good stamina,Enthusiastic,Ready to go,Positive outlook,Always distracted,I recharge through entertainment,Forgetful,Low mood,Focused,Good focus,Not motivated,Easily distracted,Not motivated,Normal
I recharge through entertainment,Patient,Few mistakes,Positive outlook,In good physical condition,Patient,Invested,In good physical condition,Focused,Mostly engaged,Sharp memory,Ready to go,Challenging but good,Good stamina,Self-aware,Ready to go,Focused,Sharp memory,Mostly engaged,In good physical condition,Normal
Refreshed,Few mistakes,Emotionally stable,Focused,Good focus,Good focus,Good stamina,Low mood,Clear-minded,Good stamina,In good physical condition,Drained,Few mistakes,Invested,Enthusiastic,Sharp memory,Enthusiastic,In good physical condition,Good stamina,Good focus,Normal
Ready to go,Ready to go,Not motivated,Self-aware,Easily distracted,Invested,Forgetful,Sharp memory,Positive outlook,Drained,Good focus,Easily distracted,Sharp memory,Self-aware,Focused,Positive outlook,Drained,Good focus,Good focus,Emotionally stable,Normal
Emotionally stable,Enthusiastic,Emotionally stable,Patient,I recharge through entertainment,Few mistakes,Focused,Good focus,Good focus,Few mistakes,Good stamina,Ready to go,Refreshed,Challenging but good,Clear-minded,Emotionally stable,Invested,Sharp memory,Challenging but good,Self-aware,Normal
Quick to anger,Sharp memory,Challenging but good,In good physical condition,Self-aware,Invested,Mostly engaged,Positive outlook,I recharge through entertainment,Loses focus,Sharp memory,Patient,Mostly engaged,Not motivated,Emotionally stable,Self-aware,Enthusiastic,Invested,Focused,Self-aware,Normal
Focused,Sharp memory,Not motivated,Loses focus,Patient,Emotionally stable,Sharp memory,In good physical condition,Few mistakes,Invested,Forgetful,Positive outlook,Focused,Not motivated,Good focus,Easily distracted,Patient,Self-aware,I recharge through entertainment,Self-aware,Normal
Patient,Refreshed,In good physical condition,Drained,Drained,Positive outlook,I recharge through entertainment,Challenging but good,Mostly engaged,Clear-minded,Invested,Self-aware,Clear-minded,I recharge through entertainment,Clear-minded,Good focus,Indifferent,Good focus,Challenging but good,Positive outlook,Normal
Invested,Good focus,Mostly engaged,Sharp memory,Challenging but good,Self-aware,Positive outlook,Emotionally stable,Positive outlook,Ready to go,Clear-minded,Not motivated,Invested,Patient,In good physical condition,Self-aware,Clear-minded,In good physical condition,In good physical condition,In good physical condition,Normal
In good physical condition,Emotionally stable,Mostly engaged,Invested,Sharp memory,Emotionally stable,Good stamina,Enthusiastic,Sharp memory,Ready to go,In good physical condition,Enthusiastic,In good physical condition,Positive outlook,Challenging but good,Positive outlook,Good stamina,I recharge through entertainment,Foggy mind,Challenging but good,Normal
Challenging but good,I recharge through entertainment,No energy at all,Always distracted,Good focus,Emotionally stable,Good focus,Mostly engaged,Easily distracted,Drained,Positive outlook,Emotionally stable,Emotionally stable,Ready to go,Forgetful,Sharp memory,No energy at all,Enthusiastic,Foggy mind,Few mistakes,Normal
I recharge through entertainment,Focused,Easily distracted,Positive outlook,Challenging but good,Indifferent,I recharge through entertainment,Positive outlook,I recharge through entertainment,Challenging but good,Emotionally stable,Foggy mind,Clear-minded,Emotionally stable,Forgetful,I recharge through entertainment,Not motivated,Emotionally stable,Not motivated,Refreshed,Normal
No energy at all,Ready to go,Sharp memory,Good focus,Always distracted,Always distracted,Enthusiastic,Refreshed,Forgetful,Few mistakes,Invested,Invested,Ready to go,Patient,Drained,I recharge through entertainment,Loses focus,No energy at all,Positive outlook,Good focus,Normal
I recharge through entertainment,Clear-minded,I recharge through entertainment,Few mistakes,I recharge through entertainment,Challenging but good,Mostly engaged,Clear-minded,In good physical condition,Ready to go,Self-aware,Sharp memory,Sharp memory,In good physical condition,Sharp memory,Good focus,Few mistakes,I recharge through entertainment,Positive outlook,I recharge through entertainment,Normal
Emotionally stable,Clear-minded,Mostly engaged,Sharp memory,Self-aware,Sharp memory,No energy at all,I recharge through entertainment,Few mistakes,Good focus,Mostly engaged,No energy at all,Sharp memory,Few mistakes,Loses focus,Mostly engaged,Always distracted,Invested,Focused,Ready to go,Normal
Self-aware,Invested,Focused,Sharp memory,Challenging but good,Forgetful,Sharp memory,Self-aware,Enthusiastic,Good focus,Self-aware,Enthusiastic,I recharge through entertainment,Challenging but good,Emotionally stable,Patient,In good physical condition,Patient,In good physical condition,I recharge through entertainment,Normal
Invested,Self-aware,Few mistakes,Clear-minded,I recharge through entertainment,Positive outlook,Patient,Sharp memory,Always distracted,Foggy mind,Always distracted,Challenging but good,No energy at all,Mostly engaged,Good stamina,Clear-minded,Quick to anger,Indifferent,Ready to go,Few mistakes,Normal
Not motivated,Foggy mind,Emotionally stable,I recharge through entertainment,Mostly engaged,Mostly engaged,Focused,Self-aware,Patient,Emotionally stable,Emotionally stable,Loses focus,Good focus,Enthusiastic,Few mistakes,Positive outlook,Foggy mind,Good focus,Indifferent,Loses focus,Normal
Mostly engaged,Enthusiastic,Emotionally stable,Ready to go,Positive outlook,Emotionally stable,Emotionally stable,Good focus,Mostly engaged,Challenging but good,Positive outlook,Clear-minded,Patient,Few mistakes,Good focus,Focused,Focused,Few mistakes,Challenging but good,Ready to go,Normal
Few mistakes,In good physical condition,I recharge through entertainment,Refreshed,Loses focus,Invested,Ready to go,Self-aware,In good physical condition,Few mistakes,Self-aware,Clear-minded,I recharge through entertainment,Invested,Invested,Enthusiastic,Emotionally stable,Clear-minded,Emotionally stable,Patient,Normal
In good physical condition,Quick to anger,Ready to go,Few mistakes,Invested,Ready to go,Refreshed,Sharp memory,Self-aware,Not motivated,Positive outlook,Sharp memory,Self-aware,Refreshed,Good focus,Easily distracted,Invested,Invested,Positive outlook,Self-aware,Normal
Few mistakes,Enthusiastic,In good physical condition,Loses focus,Loses focus,Not motivated,Foggy mind,I recharge through entertainment,Challenging but good,Challenging but good,Challenging but good,Ready to go,In good physical condition,Self-aware,Patient,Good focus,Not motivated,Patient,Challenging but good,Clear-minded,Normal
Good focus,Mostly engaged,Challenging but good,Easily distracted,Good focus,Focused,Quick to anger,Good stamina,Self-aware,Good focus,Good focus,Few mistakes,Not motivated,No energy at all,Low mood,Sharp memory,Not motivated,Emotionally stable,Quick to anger,Emotionally stable,Normal
Emotionally stable,Loses focus,Focused,No energy at all,No energy at all,I recharge through entertainment,Good stamina,Positive outlook,Mostly engaged,Focused,Good focus,Challenging but good,Clear-minded,Enthusiastic,Patient,Emotionally stable,Focused,Good focus,Clear-minded,In good physical condition,Normal
Good focus,Positive outlook,Emotionally stable,Self-aware,Good stamina,Emotionally stable,Good stamina,Positive outlook,In good physical condition,Clear-minded,Refreshed,Clear-minded,I recharge through entertainment,Good stamina,In good physical condition,Good stamina,Clear-minded,Emotionally stable,In good physical condition,Sharp memory,Normal
Positive outlook,Always distracted,Clear-minded,Few mistakes,Few mistakes,Invested,Emotionally stable,Mostly engaged,Patient,Good focus,Good focus,Enthusiastic,Good stamina,Patient,Enthusiastic,Mostly engaged,Good focus,No energy at all,Sharp memory,Low mood,Normal
Low mood,Clear-minded,Quick to anger,Always distracted,Clear-minded,Low mood,Refreshed,Self-aware,Emotionally stable,Indifferent,Focused,Positive outlook,Invested,I recharge through entertainment,Self-aware,No energy at all,Refreshed,Clear-minded,Focused,No energy at all,Normal
Invested,Mostly engaged,Enthusiastic,Challenging but good,Challenging but good,In good physical condition,Self-aware,Good stamina,In good physical condition,I recharge through entertainment,Emotionally stable,Invested,Challenging but good,No energy at all,Enthusiastic,In good physical condition,Invested,Mostly engaged,Self-aware,Refreshed,Normal
Not motivated,Invested,Challenging but good,Patient,Clear-minded,Always distracted,Few mistakes,Few mistakes,Refreshed,Low mood,Positive outlook,Not motivated,Invested,Few mistakes,Clear-minded,Easily distracted,Invested,Mostly engaged,Good stamina,Self-aware,Normal
Invested,Positive outlook,Ready to go,I recharge through entertainment,Few mistakes,Foggy mind,Challenging but good,Easily distracted,Quick to anger,Good stamina,Invested,Self-aware,Ready to go,No energy at all,Mostly engaged,Forgetful,Self-aware,In good physical condition,Focused,Drained,Normal
Emotionally stable,Sharp memory,Emotionally stable,No energy at all,Enthusiastic,Positive outlook,Refreshed,Low mood,Emotionally stable,Enthusiastic,Ready to go,Loses focus,Drained,Patient,Loses focus,Good focus,No energy at all,Sharp memory,Quick to anger,Patient,Normal
Forgetful,Ready to go,Invested,In good physical condition,Refreshed,Always distracted,Refreshed,Low mood,Positive outlook,Foggy mind,Drained,Refreshed,I recharge through entertainment,Clear-minded,Emotionally stable,Few mistakes,Easily distracted,Not motivated,Self-aware,Positive outlook,Normal
Refreshed,Ready to go,I recharge through entertainment,Patient,Challenging but good,Quick to anger,Self-aware,Few mistakes,Challenging but good,Forgetful,Clear-minded,Few mistakes,Invested,I recharge through entertainment,Ready to go,Focused,Forgetful,Mostly engaged,Self-aware,Self-aware,Normal
Foggy mind,Refreshed,Ready to go,Invested,Enthusiastic,Sharp memory,Drained,Positive outlook,Few mistakes,Ready to go,Challenging but good,Good stamina,Mostly engaged,Focused,Ready to go,Good focus,Challenging but good,Invested,Focused,Emotionally stable,Normal
Forgetful,Loses focus,Easily distracted,Sharp memory,No energy at all,Easily distracted,Clear-minded,Low mood,Low mood,Focused,Challenging but good,Drained,In good physical condition,Good focus,Ready to go,Good focus,Sharp memory,In good physical condition,Positive outlook,Good focus,Needs Monitoring
