Do you feel mentally exhausted at work?,"After a day at work, do you find it hard to recover your energy?",Do you find that everything you do at work requires much effort?,Do you feel physically exhausted at work?,"When you get up in the morning, do you lack the energy to start a new day at work?",Do you want to be active at work but find it difficult to manage?,Do you quickly get tired when exerting yourself at work?,Do you feel mentally exhausted and drained at the end of your workday?,Do you struggle to find enthusiasm for your work?,Do you feel indifferent about your job?,Are you cynical about the impact your work has on others?,Do you have trouble staying focused at work?,Do you struggle to think clearly at work?,Are you forgetful and easily distracted at work?,Do you have trouble concentrating while working?,Do you make mistakes at work because your mind is on other things?,Do you feel unable to control your emotions at work?,Do you feel you no longer recognize yourself in your emotional reactions at work?,Do you become irritable when things don't go your way at work?,Do you feel sad or upset at work without knowing why?,Classification
Sharp memory,Invested,Challenging but good,Invested,Emotionally stable,I recharge through entertainment,Forgetful,I recharge through entertainment,Challenging but good,Forgetful,Enthusiastic,Good stamina,Sharp memory,Enthusiastic,Self-aware,Drained,Self-aware,Ready to go,Mostly engaged,Clear-minded,Normal
Emotionally stable,Good stamina,Always distracted,Few mistakes,Low mood,Clear-minded,Self-aware,Ready to go,Focused,I recharge through entertainment,Mostly engaged,Self-aware,Enthusiastic,Good stamina,Refreshed,Refreshed,Refreshed,Positive outlook,Emotionally stable,Invested,Normal
Emotionally stable,Clear-minded,Mostly engaged,Good focus,Good focus,Quick to anger,Emotionally stable,Challenging but good,Emotionally stable,Emotionally stable,Mostly engaged,Patient,Emotionally stable,I recharge through entertainment,Clear-minded,Few mistakes,Sharp memory,Sharp memory,Invested,Patient,Normal
Few mistakes,In good physical condition,Ready to go,Easily distracted,Self-aware,Good stamina,Mostly engaged,Good focus,Foggy mind,Invested,Good stamina,In good physical condition,Focused,Forgetful,Low mood,Good stamina,Clear-minded,Low mood,Patient,Self-aware,Normal
Good focus,Patient,Easily distracted,Focused,Mostly engaged,Challenging but good,Emotionally stable,Invested,In good physical condition,Refreshed,Good focus,Low mood,Good focus,I recharge through entertainment,Self-aware,I recharge through entertainment,Ready to go,Enthusiastic,Clear-minded,Good stamina,Normal
Good focus,Easily distracted,Invested,Good stamina,Patient,Sharp memory,Patient,Clear-minded,Ready to go,Sharp memory,Loses focus,Rarely feel tired,Ready to go,Rarely feel tired,Forgetful,Focused,Good focus,Emotionally stable,Refreshed,Patient,Normal
Patient,Refreshed,Few mistakes,Focused,Enthusiastic,Positive outlook,I recharge through entertainment,Sharp memory,Sharp memory,Enthusiastic,I recharge through entertainment,Refreshed,Refreshed,Good stamina,Focused,In good physical condition,Sharp memory,Foggy mind,Emotionally stable,Good stamina,Normal
Mostly engaged,Sharp memory,Good focus,Mostly engaged,Enthusiastic,Sharp memory,Refreshed,Self-aware,Clear-minded,Invested,Patient,Enthusiastic,Indifferent,Refreshed,Sharp memory,Sharp memory,Patient,Good focus,Good stamina,Invested,Normal
Good stamina,Challenging but good,I recharge through entertainment,No energy at all,I recharge through entertainment,Focused,Clear-minded,Few mistakes,Mostly engaged,Mostly engaged,Emotionally stable,Ready to go,Ready to go,Positive outlook,Good focus,Sharp memory,Challenging but good,Enthusiastic,Emotionally stable,Indifferent,Normal
Invested,Enthusiastic,Patient,Emotionally stable,In good physical condition,I recharge through entertainment,In good physical condition,Few mistakes,Mostly engaged,Positive outlook,Enthusiastic,Patient,I recharge through entertainment,Sharp memory,Enthusiastic,Refreshed,Few mistakes,In good physical condition,In good physical condition,Refreshed,Normal
Low mood,Low mood,Positive outlook,Invested,Challenging but good,In good physical condition,Patient,Patient,Positive outlook,Few mistakes,Invested,Good stamina,Clear-minded,Low mood,Enthusiastic,Self-aware,Forgetful,Focused,Patient,Ready to go,Normal
Enthusiastic,Focused,I recharge through entertainment,Invested,Positive outlook,Good stamina,I recharge through entertainment,Ready to go,Good stamina,Ready to go,Challenging but good,Drained,Challenging but good,Quick to anger,Few mistakes,No energy at all,Emotionally stable,Challenging but good,Enthusiastic,Good stamina,Normal
Focused,Foggy mind,Self-aware,Positive outlook,Refreshed,Invested,Patient,Good stamina,Low mood,Self-aware,Mostly engaged,Ready to go,Self-aware,Not motivated,Drained,Few mistakes,Few mistakes,Good focus,Quick to anger,Ready to go,Normal
Clear-minded,In good physical condition,Good focus,Enthusiastic,I recharge through entertainment,Mostly engaged,Emotionally stable,Emotionally stable,Good stamina,Refreshed,Sharp memory,Ready to go,Sharp memory,Invested,Few mistakes,Ready to go,Easily distracted,Few mistakes,In good physical condition,Mostly engaged,Normal
Low mood,No energy at all,Low mood,Challenging but good,Positive outlook,No energy at all,Challenging but good,Emotionally stable,Good stamina,I recharge through entertainment,Patient,Emotionally stable,Enthusiastic,Invested,I recharge through entertainment,I recharge through entertainment,Challenging but good,In good physical condition,Ready to go,Patient,Normal
Positive outlook,Positive outlook,Mostly engaged,Patient,Good focus,Refreshed,Mostly engaged,Self-aware,Challenging but good,Patient,Few mistakes,Good stamina,In good physical condition,Sharp memory,Challenging but good,Mostly engaged,Invested,I recharge through entertainment,Few mistakes,I recharge through entertainment,Normal
Ready to go,Emotionally stable,Positive outlook,Refreshed,Refreshed,Invested,I recharge through entertainment,Clear-minded,In good physical condition,Enthusiastic,Invested,Few mistakes,Positive outlook,Refreshed,Focused,Good focus,Refreshed,I recharge through entertainment,Emotionally stable,I recharge through entertainment,Normal
Emotionally stable,Patient,Challenging but good,Ready to go,No energy at all,I recharge through entertainment,Good focus,Positive outlook,Focused,Good focus,Enthusiastic,Invested,Self-aware,Good stamina,Not motivated,Few mistakes,Patient,Good stamina,Challenging but good,Low mood,Normal
Focused,Ready to go,Not motivated,Sharp memory,Forgetful,Rarely feel tired,Foggy mind,In good physical condition,Enthusiastic,Sharp memory,I recharge through entertainment,I recharge through entertainment,Challenging but good,Invested,Good focus,Patient,Self-aware,Rarely feel tired,Easily distracted,Clear-minded,Normal
Focused,Few mistakes,Clear-minded,Self-aware,Clear-minded,Invested,Invested,Mostly engaged,In good physical condition,Good stamina,Sharp memory,Ready to go,In good physical condition,Clear-minded,Focused,Mostly engaged,Challenging but good,Not motivated,Good stamina,Positive outlook,Normal
Good stamina,Drained,Good stamina,In good physical condition,In good physical condition,In good physical condition,I recharge through entertainment,Low mood,Indifferent,Good focus,Foggy mind,Enthusiastic,Emotionally stable,Indifferent,Refreshed,Patient,Always distracted,Refreshed,Focused,Good focus,Normal
Challenging but good,Refreshed,Refreshed,Self-aware,Self-aware,Few mistakes,Self-aware,Drained,Mostly engaged,Quick to anger,Patient,Patient,Challenging but good,Mostly engaged,Good stamina,Sharp memory,Focused,Enthusiastic,Good stamina,Ready to go,Normal
No energy at all,Sharp memory,Enthusiastic,Clear-minded,Challenging but good,Sharp memory,Challenging but good,Mostly engaged,Clear-minded,Positive outlook,Few mistakes,In good physical condition,Quick to anger,Invested,Forgetful,Quick to anger,Emotionally stable,In good physical condition,Ready to go,Challenging but good,Normal
In good physical condition,I recharge through entertainment,Ready to go,Good stamina,Emotionally stable,Enthusiastic,Clear-minded,Good focus,Refreshed,Positive outlook,Good stamina,Challenging but good,Positive outlook,Positive outlook,Good stamina,Invested,Positive outlook,Positive outlook,Focused,Good focus,Normal
Self-aware,Emotionally stable,Patient,Mostly engaged,Mostly engaged,Refreshed,Mostly engaged,I recharge through entertainment,Good focus,Positive outlook,Emotionally stable,Refreshed,Challenging but good,Ready to go,Clear-minded,Self-aware,Easily distracted,Enthusiastic,I recharge through entertainment,Self-aware,Normal
Challenging but good,Sharp memory,Mostly engaged,Emotionally stable,Sharp memory,Patient,Invested,Good stamina,Patient,Focused,Patient,Challenging but good,Ready to go,Ready to go,Good stamina,Challenging but good,Sharp memory,Good focus,Ready to go,Not motivated,Normal
Positive outlook,I recharge through entertainment,Rarely feel tired,Good stamina,Positive outlook,Challenging but good,Sharp memory,Low mood,Clear-minded,Few mistakes,Quick to anger,In good physical condition,Always distracted,Not motivated,In good physical condition,Drained,Mostly engaged,Ready to go,Focused,Indifferent,Normal
Clear-minded,Refreshed,Not motivated,Self-aware,Ready to go,Focused,Mostly engaged,Mostly engaged,Refreshed,In good physical condition,Sharp memory,Good focus,In good physical condition,Patient,Patient,Mostly engaged,Self-aware,Focused,Good stamina,Mostly engaged,Normal
In good physical condition,I recharge through entertainment,Challenging but good,Enthusiastic,Indifferent,Challenging but good,Mostly engaged,Ready to go,Rarely feel tired,Self-aware,Mostly engaged,Mostly engaged,Refreshed,Focused,Mostly engaged,Invested,Always distracted,Invested,I recharge through entertainment,Positive outlook,Normal
Low mood,Mostly engaged,In good physical condition,In good physical condition,Foggy mind,Positive outlook,Patient,Positive outlook,Challenging but good,Quick to anger,Not motivated,Challenging but good,Sharp memory,Refreshed,Challenging but good,Focused,I recharge through entertainment,Emotionally stable,Clear-minded,Enthusiastic,Normal
Drained,Loses focus,Low mood,Sharp memory,In good physical condition,Sharp memory,Emotionally stable,Foggy mind,Self-aware,Refreshed,In good physical condition,Patient,Focused,I recharge through entertainment,Good focus,Mostly engaged,Sharp memory,Loses focus,Enthusiastic,In good physical condition,Normal
Invested,Good stamina,Few mistakes,Sharp memory,Ready to go,Forgetful,Sharp memory,Enthusiastic,Mostly engaged,Emotionally stable,Sharp memory,In good physical condition,Refreshed,Good stamina,Always distracted,Few mistakes,Mostly engaged,No energy at all,Mostly engaged,Emotionally stable,Normal
Always distracted,Invested,Positive outlook,Focused,Not motivated,Challenging but good,Invested,Clear-minded,Low mood,Ready to go,Challenging but good,Good focus,Good stamina,Mostly engaged,Mostly engaged,Few mistakes,Challenging but good,Enthusiastic,Enthusiastic,Invested,Normal
Indifferent,Refreshed,Good stamina,Loses focus,Invested,Not motivated,Emotionally stable,Positive outlook,Mostly engaged,Refreshed,Mostly engaged,Emotionally stable,In good physical condition,Drained,Not motivated,In good physical condition,Clear-minded,Not motivated,Few mistakes,Good stamina,Normal
Invested,Good stamina,Patient,Mostly engaged,Refreshed,I recharge through entertainment,Self-aware,In good physical condition,Good stamina,Refreshed,Emotionally stable,Sharp memory,In good physical condition,Patient,Enthusiastic,Few mistakes,Good stamina,Enthusiastic,Sharp memory,Good focus,Normal
Low mood,Sharp memory,Mostly engaged,Invested,Sharp memory,Good stamina,Foggy mind,Refreshed,Easily distracted,Enthusiastic,Enthusiastic,Enthusiastic,Indifferent,I recharge through entertainment,Challenging but good,I recharge through entertainment,Low mood,Sharp memory,Mostly engaged,Low mood,Normal
Challenging but good,Low mood,Enthusiastic,Patient,Challenging but good,Sharp memory,Positive outlook,Challenging but good,Self-aware,Good stamina,Foggy mind,Patient,Focused,In good physical condition,Positive outlook,Sharp memory,I recharge through entertainment,Few mistakes,Good stamina,Few mistakes,Normal
Clear-minded,Challenging but good,Refreshed,Refreshed,I recharge through entertainment,I recharge through entertainment,Mostly engaged,Patient,Ready to go,Sharp memory,Indifferent,Quick to anger,Patient,Invested,Ready to go,In good physical condition,Self-aware,In good physical condition,Easily distracted,Mostly engaged,Normal
Sharp memory,Quick to anger,Easily distracted,Focused,Sharp memory,Self-aware,Sharp memory,Low mood,Mostly engaged,Few mistakes,Good stamina,Quick to anger,Invested,Positive outlook,Emotionally stable,Invested,Mostly engaged,Focused,Ready to go,Indifferent,Normal
I recharge through entertainment,Forgetful,Mostly engaged,Mostly engaged,Few mistakes,Self-aware,Sharp memory,Mostly engaged,Good focus,Good stamina,Enthusiastic,I recharge through entertainment,Mostly engaged,Few mistakes,Foggy mind,Good focus,Good focus,Sharp memory,Refreshed,Refreshed,Normal
Focused,Enthusiastic,Quick to anger,Low mood,Mostly engaged,Sharp memory,Rarely feel tired,I recharge through entertainment,Refreshed,Quick to anger,I recharge through entertainment,Mostly engaged,Challenging but good,Not motivated,Good focus,Mostly engaged,Sharp memory,Positive outlook,Challenging but good,Good focus,Normal
Good stamina,Positive outlook,Self-aware,Loses focus,Self-aware,Always distracted,Enthusiastic,Clear-minded,Few mistakes,Rarely feel tired,Patient,In good physical condition,Self-aware,Invested,Loses focus,Challenging but good,Rarely feel tired,Ready to go,Enthusiastic,Focused,Normal
Patient,Few mistakes,Patient,Clear-minded,Positive outlook,Good focus,Good stamina,Emotionally stable,Focused,Good stamina,I recharge through entertainment,Few mistakes,I recharge through entertainment,Clear-minded,Refreshed,Emotionally stable,Invested,I recharge through entertainment,Ready to go,Challenging but good,Normal
Indifferent,Few mistakes,Foggy mind,Challenging but good,Few mistakes,I recharge through entertainment,Mostly engaged,Low mood,Good stamina,Good stamina,Positive outlook,Patient,Refreshed,Easily distracted,Easily distracted,No energy at all,Sharp memory,Emotionally stable,Foggy mind,Good focus,Normal
Emotionally stable,Clear-minded,Clear-minded,Good focus,Positive outlook,Easily distracted,I recharge through entertainment,Mostly engaged,Focused,Low mood,Enthusiastic,Few mistakes,Positive outlook,Easily distracted,In good physical condition,Positive outlook,In good physical condition,Ready to go,Foggy mind,In good physical condition,Normal
Loses focus,I recharge through entertainment,Invested,Easily distracted,Indifferent,Refreshed,Mostly engaged,Invested,Focused,Easily distracted,Ready to go,Good stamina,Sharp memory,Ready to go,Positive outlook,Clear-minded,Self-aware,In good physical condition,Easily distracted,Positive outlook,Normal
Focused,Patient,Challenging but good,Positive outlook,Focused,Good stamina,Challenging but good,Sharp memory,Few mistakes,Mostly engaged,Clear-minded,Sharp memory,Few mistakes,Easily distracted,Emotionally stable,Positive outlook,I recharge through entertainment,Mostly engaged,Invested,In good physical condition,Normal
Sharp memory,Enthusiastic,Mostly engaged,Challenging but good,Refreshed,Invested,Good stamina,Patient,Enthusiastic,No energy at all,Good stamina,Loses focus,Enthusiastic,Few mistakes,Few mistakes,Few mistakes,Invested,Ready to go,Mostly engaged,Few mistakes,Normal
Invested,Easily distracted,Emotionally stable,Quick to anger,Enthusiastic,Emotionally stable,Ready to go,In good physical condition,Few mistakes,Easily distracted,Few mistakes,Focused,Positive outlook,Ready to go,No energy at all,Emotionally stable,Emotionally stable,Good stamina,Self-aware,Self-aware,Normal
Sharp memory,Low mood,Invested,Always distracted,Always distracted,Patient,Ready to go,Refreshed,Good focus,Foggy mind,Emotionally stable,In good physical condition,Good focus,Rarely feel tired,Forgetful,Challenging but good,Good focus,I recharge through entertainment,Challenging but good,Sharp memory,Normal
Few mistakes,Few mistakes,Forgetful,In good physical condition,Quick to anger,Easily distracted,Refreshed,Invested,Few mistakes,Clear-minded,Forgetful,Enthusiastic,Sharp memory,Self-aware,Invested,I recharge through entertainment,Sharp memory,Sharp memory,Mostly engaged,In good physical condition,Normal
Patient,Enthusiastic,Invested,Refreshed,Sharp memory,I recharge through entertainment,Good stamina,I recharge through entertainment,Drained,Ready to go,Ready to go,Few mistakes,Self-aware,Drained,Ready to go,Focused,Challenging but good,Emotionally stable,Invested,Enthusiastic,Normal
Good focus,Good focus,I recharge through entertainment,Mostly engaged,Challenging but good,Clear-minded,Clear-minded,Few mistakes,Drained,Ready to go,Challenging but good,Enthusiastic,Clear-minded,I recharge through entertainment,Forgetful,In good physical condition,Self-aware,Good stamina,In good physical condition,In good physical condition,Normal
Self-aware,Clear-minded,Ready to go,Invested,Few mistakes,Patient,Self-aware,Sharp memory,Drained,Not motivated,Foggy mind,Quick to anger,Challenging but good,Challenging but good,Ready to go,Quick to anger,Self-aware,Sharp memory,Patient,Not motivated,Normal
Enthusiastic,Focused,Refreshed,Emotionally stable,Refreshed,Emotionally stable,Good stamina,In good physical condition,Invested,Challenging but good,Refreshed,Refreshed,Clear-minded,Patient,Ready to go,Good focus,Challenging but good,Positive outlook,Easily distracted,Loses focus,Normal
Loses focus,Positive outlook,Clear-minded,Loses focus,Patient,Clear-minded,Forgetful,Clear-minded,Positive outlook,Forgetful,In good physical condition,Self-aware,Self-aware,In good physical condition,Enthusiastic,Foggy mind,Few mistakes,Ready to go,Positive outlook,Rarely feel tired,Normal
Self-aware,Invested,Good stamina,Focused,Easily distracted,I recharge through entertainment,In good physical condition,Few mistakes,I recharge through entertainment,Mostly engaged,Quick to anger,Few mistakes,Few mistakes,Low mood,In good physical condition,Good focus,Mostly engaged,Few mistakes,No energy at all,Focused,Normal
Emotionally stable,Positive outlook,Sharp memory,Refreshed,Patient,Foggy mind,Quick to anger,Patient,No energy at all,Good stamina,Foggy mind,Few mistakes,Drained,Challenging but good,Good focus,Rarely feel tired,Not motivated,Good stamina,Sharp memory,Good focus,Normal
Good stamina,Challenging but good,Enthusiastic,Good stamina,I recharge through entertainment,Emotionally stable,Patient,Refreshed,Ready to go,I recharge through entertainment,Focused,Positive outlook,Enthusiastic,Sharp memory,Enthusiastic,I recharge through entertainment,Sharp memory,Challenging but good,Patient,Focused,Normal
Invested,Refreshed,Sharp memory,I recharge through entertainment,Ready to go,Forgetful,Challenging but good,Good stamina,Challenging but good,I recharge through entertainment,I recharge through entertainment,Positive outlook,Clear-minded,Sharp memory,Emotionally stable,Good stamina,Low mood,Patient,Patient,Refreshed,Normal
Ready to go,In good physical condition,Few mistakes,Emotionally stable,Enthusiastic,Challenging but good,Sharp memory,Refreshed,Invested,Loses focus,Few mistakes,Good stamina,I recharge through entertainment,Enthusiastic,Good focus,Clear-minded,Self-aware,Refreshed,Sharp memory,Good focus,Normal
Loses focus,Focused,Refreshed,Good focus,Focused,Clear-minded,Good stamina,Indifferent,Positive outlook,Foggy mind,I recharge through entertainment,Invested,Enthusiastic,Invested,Quick to anger,Sharp memory,Good stamina,Mostly engaged,Refreshed,Good stamina,Normal
Clear-minded,Few mistakes,Self-aware,Challenging but good,Challenging but good,Emotionally stable,Rarely feel tired,Refreshed,Ready to go,Focused,Emotionally stable,Sharp memory,Good stamina,Mostly engaged,Sharp memory,Focused,Sharp memory,I recharge through entertainment,Patient,Forgetful,Normal
Few mistakes,I recharge through entertainment,Good stamina,Refreshed,Positive outlook,Invested,Sharp memory,Clear-minded,Self-aware,Focused,In good physical condition,Invested,I recharge through entertainment,Invested,Challenging but good,Positive outlook,Always distracted,Invested,Focused,Focused,Normal
Emotionally stable,Good focus,Sharp memory,Foggy mind,Invested,Focused,Self-aware,Focused,Quick to anger,Ready to go,Focused,Sharp memory,Few mistakes,Rarely feel tired,Quick to anger,Enthusiastic,Drained,Good stamina,Foggy mind,Good focus,Normal
Good focus,Enthusiastic,Emotionally stable,No energy at all,Loses focus,Positive outlook,Invested,Emotionally stable,Positive outlook,Clear-minded,Self-aware,Invested,Mostly engaged,Enthusiastic,Focused,I recharge through entertainment,Good focus,Sharp memory,Sharp memory,I recharge through entertainment,Normal
Positive outlook,In good physical condition,Sharp memory,In good physical condition,Positive outlook,Drained,Easily distracted,Good focus,Forgetful,Clear-minded,Patient,Positive outlook,Good focus,Mostly engaged,Positive outlook,Invested,Refreshed,Positive outlook,Loses focus,Ready to go,Normal
I recharge through entertainment,Mostly engaged,Focused,Self-aware,Refreshed,Clear-minded,Few mistakes,Indifferent,Drained,Good focus,Positive outlook,Invested,Invested,Clear-minded,Quick to anger,Clear-minded,In good physical condition,Invested,Good focus,Few mistakes,Normal
Drained,Emotionally stable,Clear-minded,Foggy mind,Challenging but good,Clear-minded,Good stamina,Not motivated,Emotionally stable,Focused,Challenging but good,Few mistakes,Good stamina,Self-aware,Ready to go,Sharp memory,Good focus,Refreshed,Mostly engaged,I recharge through entertainment,Normal
Sharp memory,In good physical condition,Good stamina,Self-aware,Good stamina,Challenging but good,Challenging but good,Quick to anger,Forgetful,Emotionally stable,Mostly engaged,Refreshed,Foggy mind,Clear-minded,Ready to go,Few mistakes,No energy at all,Challenging but good,Enthusiastic,Always distracted,Normal
Sharp memory,Invested,Not motivated,Foggy mind,Clear-minded,Indifferent,Challenging but good,Challenging but good,Mostly engaged,Low mood,Invested,Good focus,Mostly engaged,Good focus,Rarely feel tired,No energy at all,Ready to go,Refreshed,Few mistakes,Low mood,Normal
Invested,Mostly engaged,Challenging but good,Invested,Sharp memory,Enthusiastic,Ready to go,Refreshed,Mostly engaged,In good physical condition,Ready to go,Self-aware,Invested,Patient,Mostly engaged,Clear-minded,Sharp memory,Positive outlook,Few mistakes,Focused,Normal
Emotionally stable,Enthusiastic,Invested,Challenging but good,Mostly engaged,Enthusiastic,Focused,Patient,I recharge through entertainment,I recharge through entertainment,Clear-minded,Ready to go,Sharp memory,Self-aware,I recharge through entertainment,I recharge through entertainment,Good stamina,Ready to go,Self-aware,Refreshed,Normal
Enthusiastic,Good stamina,I recharge through entertainment,Good focus,Not motivated,Few mistakes,Patient,Few mistakes,Patient,Loses focus,Drained,Ready to go,Enthusiastic,In good physical condition,Challenging but good,No energy at all,Forgetful,Good stamina,Emotionally stable,Self-aware,Normal
No energy at all,Refreshed,Mostly engaged,Mostly engaged,Focused,Mostly engaged,Clear-minded,Rarely feel tired,Clear-minded,Enthusiastic,In good physical condition,I recharge through entertainment,Self-aware,Invested,Challenging but good,Mostly engaged,Enthusiastic,Self-aware,Good focus,Enthusiastic,Normal
Always distracted,Mostly engaged,Mostly engaged,Patient,Not motivated,No energy at all,Not motivated,Ready to go,Self-aware,Loses focus,Enthusiastic,Indifferent,Sharp memory,Refreshed,Focused,In good physical condition,Refreshed,Foggy mind,In good physical condition,Positive outlook,Normal
Mostly engaged,No energy at all,Indifferent,No energy at all,Challenging but good,I recharge through entertainment,Clear-minded,Forgetful,Emotionally stable,Clear-minded,Mostly engaged,Emotionally stable,Ready to go,Focused,Mostly engaged,Indifferent,Forgetful,Challenging but good,Foggy mind,Self-aware,Normal
Enthusiastic,In good physical condition,Positive outlook,Sharp memory,Good stamina,Good focus,In good physical condition,Patient,Forgetful,Easily distracted,Low mood,Positive outlook,I recharge through entertainment,Self-aware,Emotionally stable,Invested,In good physical condition,Challenging but good,Quick to anger,Clear-minded,Normal
I recharge through entertainment,In good physical condition,Good stamina,Invested,I recharge through entertainment,Invested,Good stamina,Good focus,Good stamina,Patient,Refreshed,Challenging but good,In good physical condition,Patient,In good physical condition,Few mistakes,Good stamina,Patient,Sharp memory,Enthusiastic,Normal
Enthusiastic,Clear-minded,I recharge through entertainment,Focused,Mostly engaged,Emotionally stable,Self-aware,In good physical condition,Mostly engaged,Not motivated,I recharge through entertainment,Refreshed,Positive outlook,Clear-minded,Challenging but good,I recharge through entertainment,Invested,Sharp memory,Sharp memory,Focused,Normal
Good stamina,Good focus,I recharge through entertainment,Good stamina,Challenging but good,Focused,In good physical condition,Good focus,Invested,Sharp memory,Sharp memory,Ready to go,Mostly engaged,Refreshed,I recharge through entertainment,Invested,Indifferent,Mostly engaged,Low mood,Good stamina,Normal
Focused,Patient,Ready to go,Good focus,Positive outlook,Patient,Focused,Good focus,Mostly engaged,Enthusiastic,Emotionally stable,Positive outlook,I recharge through entertainment,Enthusiastic,Sharp memory,Ready to go,Good stamina,Emotionally stable,Mostly engaged,Self-aware,Normal
Self-aware,Low mood,Low mood,Ready to go,Self-aware,Indifferent,Sharp memory,Self-aware,Positive outlook,Self-aware,Focused,Few mistakes,Clear-minded,Self-aware,No energy at all,Rarely feel tired,Enthusiastic,Always distracted,Quick to anger,Good stamina,Normal
Good stamina,I recharge through entertainment,Positive outlook,Foggy mind,Few mistakes,Refreshed,In good physical condition,Sharp memory,Patient,I recharge through entertainment,Ready to go,Patient,Not motivated,Emotionally stable,Sharp memory,Patient,Refreshed,Refreshed,Enthusiastic,Rarely feel tired,Normal
Clear-minded,Good stamina,Refreshed,Sharp memory,Forgetful,Clear-minded,Invested,No energy at all,No energy at all,Few mistakes,Refreshed,Mostly engaged,Invested,Patient,In good physical condition,Emotionally stable,In good physical condition,Few mistakes,No energy at all,Indifferent,Normal
Sharp memory,Enthusiastic,Loses focus,Challenging but good,Self-aware,Always distracted,Emotionally stable,In good physical condition,Clear-minded,Rarely feel tired,Challenging but good,In good physical condition,Indifferent,Low mood,In good physical condition,Ready to go,In good physical condition,Ready to go,Indifferent,Rarely feel tired,Normal
Emotionally stable,Patient,Patient,Always distracted,Sharp memory,Low mood,I recharge through entertainment,Ready to go,Refreshed,Challenging but good,Focused,I recharge through entertainment,Clear-minded,Positive outlook,Rarely feel tired,Emotionally stable,Emotionally stable,Quick to anger,Challenging but good,Clear-minded,Normal
Mostly engaged,Good stamina,Enthusiastic,I recharge through entertainment,Enthusiastic,Emotionally stable,In good physical condition,Challenging but good,Focused,No energy at all,I recharge through entertainment,Drained,Emotionally stable,Enthusiastic,Patient,Emotionally stable,I recharge through entertainment,Self-aware,In good physical condition,Quick to anger,Normal
Self-aware,Drained,Few mistakes,Self-aware,Few mistakes,Quick to anger,Easily distracted,Ready to go,Invested,Sharp memory,Rarely feel tired,Clear-minded,Patient,I recharge through entertainment,Refreshed,Emotionally stable,Patient,In good physical condition,Always distracted,Patient,Normal
Patient,Indifferent,Clear-minded,Invested,Patient,Mostly engaged,Enthusiastic,Refreshed,In good physical condition,Not motivated,Positive outlook,Forgetful,Clear-minded,Few mistakes,Foggy mind,Mostly engaged,Ready to go,In good physical condition,Sharp memory,Good stamina,Normal
Challenging but good,Self-aware,No energy at all,Emotionally stable,Not motivated,Drained,Mostly engaged,Clear-minded,Self-aware,No energy at all,Not motivated,Positive outlook,Focused,Drained,Good stamina,Good focus,Focused,Good focus,Good focus,Good focus,Normal
Patient,Good stamina,Rarely feel tired,Few mistakes,Low mood,Clear-minded,Invested,Forgetful,Enthusiastic,Focused,Few mistakes,Positive outlook,Drained,Foggy mind,Mostly engaged,Positive outlook,Patient,Rarely feel tired,Easily distracted,Self-aware,Normal
Not motivated,Ready to go,Focused,Sharp memory,Refreshed,Ready to go,Emotionally stable,Sharp memory,Mostly engaged,Good focus,Focused,Emotionally stable,I recharge through entertainment,Ready to go,Mostly engaged,In good physical condition,Good focus,Challenging but good,Clear-minded,Few mistakes,Normal
Focused,Focused,Enthusiastic,Sharp memory,Mostly engaged,Focused,Ready to go,Enthusiastic,Self-aware,Positive outlook,Good focus,Quick to anger,Foggy mind,Good stamina,Few mistakes,Easily distracted,Good focus,Challenging but good,Forgetful,Self-aware,Normal
Rarely feel tired,In good physical condition,Positive outlook,Patient,In good physical condition,Self-aware,Clear-minded,Patient,Enthusiastic,Self-aware,Sharp memory,Refreshed,Always distracted,Ready to go,Sharp memory,Invested,Self-aware,Refreshed,Ready to go,Positive outlook,Normal
Invested,Clear-minded,Loses focus,Rarely feel tired,Clear-minded,Enthusiastic,Challenging but good,Forgetful,Low mood,Quick to anger,Self-aware,Positive outlook,Few mistakes,Drained,Good stamina,Positive outlook,Ready to go,Enthusiastic,Rarely feel tired,Refreshed,Normal
Low mood,Clear-minded,Invested,Self-aware,Good stamina,Rarely feel tired,Ready to go,Self-aware,Always distracted,Quick to anger,Ready to go,Good stamina,Invested,Good focus,Self-aware,Indifferent,Good focus,Not motivated,Ready to go,Self-aware,Normal
Good focus,Self-aware,Enthusiastic,Good focus,In good physical condition,Mostly engaged,Emotionally stable,Challenging but good,Mostly engaged,Few mistakes,No energy at all,I recharge through entertainment,Enthusiastic,Focused,Enthusiastic,Self-aware,Ready to go,I recharge through entertainment,Self-aware,In good physical condition,Normal
In good physical condition,Invested,Positive outlook,Enthusiastic,Ready to go,Sharp memory,Self-aware,Invested,Ready to go,Mostly engaged,In good physical condition,Ready to go,Not motivated,Loses focus,Clear-minded,Mostly engaged,Challenging but good,Good focus,Clear-minded,Enthusiastic,Normal
Good focus,Always distracted,Focused,Good stamina,Ready to go,Low mood,Clear-minded,Emotionally stable,Ready to go,Low mood,Good stamina,Drained,Indifferent,In good physical condition,Foggy mind,Focused,Easily distracted,Emotionally stable,Positive outlook,Positive outlook,Normal
Challenging but good,Patient,I recharge through entertainment,Few mistakes,Good stamina,Invested,Challenging but good,In good physical condition,Few mistakes,Ready to go,In good physical condition,In good physical condition,Challenging but good,Invested,Self-aware,Enthusiastic,Patient,Good focus,Few mistakes,In good physical condition,Normal
